Contraste calculado sobre #33475B:
  texto blanco #FFFFFF        : 9.58:1 (AA/AAA)
  texto blanco 85% (224,227,230) : 7.43:1 (AA/AAA)
  acento coral #FF7A59 (hover): 3.73:1 (AA texto grande/iconos)

OK   desktop-1440 #cuando-falla fondo #33475B -> rgb(51, 71, 91)
OK   desktop-1440 #compatibilidad fondo #33475B -> rgb(51, 71, 91)
OK   desktop-1440 #cierre fondo #33475B -> rgb(51, 71, 91)
OK   desktop-1440 #respaldo sigue #33475B -> rgb(51, 71, 91)
OK   desktop-1440 #planes sin fondo (blanca, intacta) -> rgba(0, 0, 0, 0)
OK   desktop-1440 #diferenciadores sin fondo (blanca, intacta) -> rgba(0, 0, 0, 0)
OK   desktop-1440 #como-funciona sin fondo (blanca, intacta) -> rgba(0, 0, 0, 0)
OK   desktop-1440 #clientes sin fondo (blanca, intacta) -> rgba(0, 0, 0, 0)
OK   desktop-1440 #faq sin fondo (blanca, intacta) -> rgba(0, 0, 0, 0)
OK   desktop-1440 body sigue blanco -> rgb(255, 255, 255)
OK   desktop-1440 #servicios sigue coral -> rgb(255, 122, 89)
OK   desktop-1440 #cotizar conserva gradiente (intacta) -> rgba(0, 0, 0, 0) | linear-gradient(rgb(233, 240, 248) 0%, rgb(255, 255, 255) 58
OK   desktop-1440 titulo cuando-falla blanco -> rgb(255, 255, 255)
OK   desktop-1440 h3 cuando-falla blanco -> rgb(255, 255, 255)
OK   desktop-1440 p cuando-falla blanco 85% -> rgba(255, 255, 255, 0.85)
OK   desktop-1440 iconos cuando-falla blancos -> rgb(255, 255, 255)
OK   desktop-1440 titulo compatibilidad blanco -> rgb(255, 255, 255)
OK   desktop-1440 subtitulo compatibilidad blanco 85% -> rgba(255, 255, 255, 0.85)
OK   desktop-1440 nota compatibilidad blanca -> rgb(255, 255, 255)
OK   desktop-1440 borde seccion blanco 20% -> rgba(255, 255, 255, 0.2)
OK   desktop-1440 borde ico-grid blanco 20% -> rgba(255, 255, 255, 0.2)
OK   desktop-1440 borde ico-item blanco 20% -> rgba(255, 255, 255, 0.2)
OK   desktop-1440 borde compatibilidad blanco 20% -> rgba(255, 255, 255, 0.2)
OK   desktop-1440 tarjetas compat siguen blancas -> rgb(255, 255, 255)
OK   desktop-1440 texto tarjetas oscuro (sin cambios) -> rgb(51, 71, 91)
OK   desktop-1440 check verde intacto -> rgb(30, 158, 106)
OK   desktop-1440 cruz roja intacta -> rgb(192, 57, 43)
OK   desktop-1440 tarjeta final-cta sin cambios -> rgb(34, 52, 77)
OK   desktop-1440 sin overflow horizontal -> 0
OK   desktop-1440 compat 2 columna(s) -> 2
OK   desktop-1440 sin errores de consola -> 
OK   tablet-768 #cuando-falla fondo #33475B -> rgb(51, 71, 91)
OK   tablet-768 #compatibilidad fondo #33475B -> rgb(51, 71, 91)
OK   tablet-768 #cierre fondo #33475B -> rgb(51, 71, 91)
OK   tablet-768 #respaldo sigue #33475B -> rgb(51, 71, 91)
OK   tablet-768 #planes sin fondo (blanca, intacta) -> rgba(0, 0, 0, 0)
OK   tablet-768 #diferenciadores sin fondo (blanca, intacta) -> rgba(0, 0, 0, 0)
OK   tablet-768 #como-funciona sin fondo (blanca, intacta) -> rgba(0, 0, 0, 0)
OK   tablet-768 #clientes sin fondo (blanca, intacta) -> rgba(0, 0, 0, 0)
OK   tablet-768 #faq sin fondo (blanca, intacta) -> rgba(0, 0, 0, 0)
OK   tablet-768 body sigue blanco -> rgb(255, 255, 255)
OK   tablet-768 #servicios sigue coral -> rgb(255, 122, 89)
OK   tablet-768 #cotizar conserva gradiente (intacta) -> rgba(0, 0, 0, 0) | linear-gradient(rgb(233, 240, 248) 0%, rgb(255, 255, 255) 58
OK   tablet-768 titulo cuando-falla blanco -> rgb(255, 255, 255)
OK   tablet-768 h3 cuando-falla blanco -> rgb(255, 255, 255)
OK   tablet-768 p cuando-falla blanco 85% -> rgba(255, 255, 255, 0.85)
OK   tablet-768 iconos cuando-falla blancos -> rgb(255, 255, 255)
OK   tablet-768 titulo compatibilidad blanco -> rgb(255, 255, 255)
OK   tablet-768 subtitulo compatibilidad blanco 85% -> rgba(255, 255, 255, 0.85)
OK   tablet-768 nota compatibilidad blanca -> rgb(255, 255, 255)
